ejecucion,generacion,mejor,promedio,peor
1,106,-0.003616,-0.077662,-0.564786
1,107,-0.003616,-0.184275,-2.661659
1,108,-0.003616,-0.176175,-2.724596
1,109,-0.003616,-0.105760,-1.603698
1,110,-0.003616,-0.416017,-4.271749
1,111,-0.003616,-0.185458,-2.558092
1,112,-0.003616,-0.127812,-1.518018
1,113,-0.003616,-0.108759,-1.233912
1,114,-0.003616,-0.114140,-1.807235
1,115,-0.003616,-0.104753,-1.294527
1,116,-0.003616,-0.085566,-1.497029
1,117,-0.003616,-0.303520,-2.949684
1,118,-0.003616,-0.167910,-1.635491
1,119,-0.003616,-0.163719,-1.759050
1,120,-0.003616,-0.193794,-2.496487
1,121,-0.003616,-0.146773,-1.936132
1,122,-0.003616,-0.171671,-2.146434
1,123,-0.003616,-0.286506,-8.270842
1,124,-0.003616,-0.311976,-5.909453
1,125,-0.003616,-0.114344,-2.226221
1,126,-0.003616,-0.255060,-2.237563
1,127,-0.003616,-0.176103,-1.986773
1,128,-0.003616,-0.121204,-2.760715
1,129,-0.003616,-0.257683,-4.108834
1,130,-0.003616,-0.303339,-4.039426
1,131,-0.003616,-0.267190,-2.916844
1,132,-0.003616,-0.174455,-3.022408
1,133,-0.003616,-0.243983,-2.180037
1,134,-0.003616,-0.090455,-2.083455
1,135,-0.003616,-0.371727,-5.307862
1,136,-0.003616,-0.140960,-2.966742
1,137,-0.003616,-0.286168,-5.528150
1,138,-0.003616,-0.285598,-3.095511
1,139,-0.003616,-0.206946,-2.601155
1,140,-0.003616,-0.175054,-1.894722
1,141,-0.003616,-0.262574,-3.657044
1,142,-0.003616,-0.094805,-1.473606
1,143,-0.003616,-0.201420,-1.677708
1,144,-0.003616,-0.104644,-1.024829
1,145,-0.003616,-0.160032,-1.532356
1,146,-0.003616,-0.398316,-1.894430
1,147,-0.003616,-0.294330,-2.169769
1,148,-0.003616,-0.181795,-1.616029
1,149,-0.003616,-0.209961,-3.467003
1,150,-0.003616,-0.213323,-2.361112
1,151,-0.003616,-0.280529,-4.307217
1,152,-0.003616,-0.166073,-2.008712
1,153,-0.003616,-0.203195,-1.845719
1,154,-0.003616,-0.073324,-0.348226
1,155,-0.003616,-0.136824,-1.731113
1,156,-0.003616,-0.512456,-5.930273
1,157,-0.003616,-0.283086,-2.977524
1,158,-0.003616,-0.126477,-1.250517
1,159,-0.003510,-0.142922,-1.305516
1,160,-0.003510,-0.169612,-1.657159
1,161,-0.003510,-0.200589,-1.497443
1,162,-0.003510,-0.383631,-2.821912
1,163,-0.003510,-0.165785,-2.068479
1,164,-0.003510,-0.340575,-2.766020
1,165,-0.003510,-0.134841,-1.529552
1,166,-0.003510,-0.408791,-3.722584
1,167,-0.003510,-0.257712,-1.831904
1,168,-0.003510,-0.186208,-1.474517
1,169,-0.003510,-0.255703,-2.481837
1,170,-0.003510,-0.186324,-2.790859
1,171,-0.003510,-0.083080,-1.622359
1,172,-0.003510,-0.247321,-3.442849
1,173,-0.003510,-0.396763,-3.353402
1,174,-0.003510,-0.290005,-3.550921
1,175,-0.003329,-0.070809,-0.644227
1,176,-0.003329,-0.314989,-2.126652
1,177,-0.003329,-0.165661,-1.836594
1,178,-0.003329,-0.072914,-0.358390
1,179,-0.003329,-0.100321,-0.342988
1,180,-0.003329,-0.076985,-0.323664
1,181,-0.003329,-0.094162,-0.333808
1,182,-0.003329,-0.086982,-0.370519
1,183,-0.003329,-0.048965,-0.340534
1,184,-0.003162,-0.079939,-0.354283
1,185,-0.003162,-0.088958,-0.386304
1,186,-0.003162,-0.106161,-0.472487
1,187,-0.003162,-0.084066,-0.396105
1,188,-0.003162,-0.083280,-0.366149
1,189,-0.003162,-0.111618,-0.661156
1,190,-0.003162,-0.089628,-0.454991
1,191,-0.002783,-0.066161,-0.278602
1,192,-0.002783,-0.055462,-0.248685
1,193,-0.002783,-0.078271,-0.467038
1,194,-0.002783,-0.067613,-0.298658
1,195,-0.002783,-0.051264,-0.193384
1,196,-0.002783,-0.044429,-0.156595
1,197,-0.002783,-0.066526,-0.318938
1,198,-0.002783,-0.044177,-0.161237
1,199,-0.002783,-0.041704,-0.187983
1,200,-0.002783,-0.084114,-0.440910
2,1,-0.002730,-3.480875,-9.275751
2,2,-0.002730,-3.820550,-9.058924
2,3,-0.002730,-5.525812,-25.260662
2,4,-0.002730,-3.328925,-13.409774
2,5,-0.002730,-1.887607,-8.020871
2,6,-0.002730,-1.279854,-6.080154
2,7,-0.002730,-1.093112,-5.524070
2,8,-0.002730,-1.010817,-3.702955
2,9,-0.002730,-0.580533,-3.058613
2,10,-0.002708,-0.478837,-1.877134
2,11,-0.002708,-0.312824,-1.210017
2,12,-0.002708,-0.255556,-1.585765
2,13,-0.002705,-0.195412,-0.769933
2,14,-0.002705,-0.149746,-0.658438
2,15,-0.002705,-0.092644,-0.369494
2,16,-0.002658,-0.062791,-0.289100
2,17,-0.002658,-0.037189,-0.137609
2,18,-0.002658,-0.061130,-0.363441
2,19,-0.002658,-0.048273,-0.263897
2,20,-0.002658,-0.035778,-0.147752
2,21,-0.002658,-0.041248,-0.135559
2,22,-0.002658,-0.037671,-0.189409
2,23,-0.002658,-0.058082,-0.301198
2,24,-0.002658,-0.059034,-0.348487
2,25,-0.002650,-0.043999,-0.207570
2,26,-0.002650,-0.049531,-0.218665
2,27,-0.002595,-0.036274,-0.182313
2,28,-0.002595,-0.038868,-0.348159
